CX9EZAA30JSWZ01S8,143,6,2.0,6.3
SGPNBH3Z5R9SVNHJ1,223,6,3.5,8.1
2STAVUB7ZF9VJ54WA,191,6,1.0,6.1
HRF8WJYY4EXK8WEPF,113,5,1.0,6.1
J97RTVUGTVP4U69TY,231,4,1.7,6.1
70JBKXV09MJ3DKCG7,232,5,3.0,8.1
6C6F8S1N7K8LZ61NC,122,4,2.6,6.3
GE6HY4KCJBEGKFBG0,89,7,3.8,8.1
PM8ACHCF7YNREGKUD,151,4,4.9,11.8
APWRK6NJHKL217H0U,135,4,3.1,8.1
SEUKSH29TP3W046E7,131,5,3.7,8.1
MC7J2W44AXMC40MH0,138,7,4.7,11.8
LXR6KG55S7H13KS61,142,5,1.2,6.1
88FKU6DEY54P1VWRC,82,5,4.2,11.8
37NP1T8U5FNTADVR1,216,7,4.7,11.8
7UNE591K4DSTDBDCW,125,6,2.8,6.3
R6V4FLB2VXR2LYHVC,204,6,4.9,11.8
Y9PMPEDHVWACMS9HG,100,6,3.0,8.1
5A352VJZXFNJKS0GS,195,5,4.4,11.8
12ED7HN8ZP949DK8C,102,5,2.4,6.3
EH1M6SS4Y20TT6A6S,230,4,4.5,11.8
0RA116Z4UAPRCCEX2,133,6,2.2,6.3
RN0JBDZGGWPHP0D5Z,243,6,3.6,8.1
2DRE8H5HA3607MBYT,196,5,2.8,6.3
B2XB16NMJ50WMUNH9,80,4,4.8,11.8
YS50J43JLSXB10LTL,86,7,3.8,8.1
7CCPZW1U88X8GBP2R,199,8,3.1,8.1
XV7MG4S8LN81GVG95,237,6,1.9,6.1
WS2HLT2DALC5Y9RA7,140,7,2.4,6.3
NUFKJBEL62UGJEVAH,151,8,3.9,8.1
JKP6PBTKSYYHNNRYP,219,6,3.4,8.1
LK9AY8U4XHN0PRP12,98,8,4.7,11.8
UVTESL82T4BKTRHA1,207,4,2.7,6.3
M5DHG7XFSA4PYA7CU,192,8,2.5,6.3
WKK9V0PGG3HL66H2T,204,8,1.2,6.1
XKG62KAV6B1X7L2X3,229,8,3.4,8.1
MXD0ZVMDG5DJ7HUUL,165,4,2.7,6.3
J0F1S92G9S0G3EYKF,86,6,2.4,6.3
0JAWLH5R3W9MEDYAU,191,6,2.2,6.3
Z8LXE6HUYF0V35JB4,229,8,1.3,6.1
GB9M37ZC6AVPS9J22,242,4,1.7,6.1
DC9K20PANKSPXRGZZ,176,4,2.8,6.3
219ZNP2RWDF9WKB3K,126,7,1.6,6.1
GDJ4XPEZDF9CG6762,111,6,1.2,6.1
TRB0RWN0SF161SX0C,182,6,2.9,6.3
UFCC8P2HDKRJK0F83,119,5,1.1,6.1
G3TVJ6LCXRJDDYFJC,181,7,4.9,11.8
AH5JMU0AAPUSAEUAS,162,6,2.7,6.3
Y0F0XPRSVDZFWT07K,82,6,2.3,6.3
