CX9EZAA30JSWZ01S8,Infiniti,Q60,1880715,2021,Задний,Автоматическая,5122862235029,
SGPNBH3Z5R9SVNHJ1,Nissan,GT-R,4998613,2008,Передний,Автоматическая,5171948384427,CX9EZAA30JSWZ01S8
2STAVUB7ZF9VJ54WA,Jaguar,X-TYPE,4045411,2001,Задний,Механическая,5034015672664,SGPNBH3Z5R9SVNHJ1
HRF8WJYY4EXK8WEPF,Mercedes-Benz,G-CLASS,7187926,1997,Передний,Автоматическая,5216276388367,CX9EZAA30JSWZ01S8
J97RTVUGTVP4U69TY,BMW,5 SERIES GT,6429246,2009,Передний,Автоматическая,5167007608037,2STAVUB7ZF9VJ54WA
70JBKXV09MJ3DKCG7,Lamborghini,URUS,7941189,2022,Задний,Механическая,1057165474387,CX9EZAA30JSWZ01S8
6C6F8S1N7K8LZ61NC,Jaguar,I-PACE,5645693,2017,Задний,Автоматическая,1224028330096,2STAVUB7ZF9VJ54WA
GE6HY4KCJBEGKFBG0,BMW,3 SERIES GT,8494321,2014,Полный,Автоматическая,5046233359321,6C6F8S1N7K8LZ61NC
PM8ACHCF7YNREGKUD,Infiniti,QX80,9357840,2018,Передний,Автоматическая,5106609079264,GE6HY4KCJBEGKFBG0
APWRK6NJHKL217H0U,LADA,4X4,5101086,2009,Передний,Автоматическая,1227968853991,2STAVUB7ZF9VJ54WA
SEUKSH29TP3W046E7,KIA,K900,9746011,2019,Передний,Автоматическая,5051461323216,HRF8WJYY4EXK8WEPF
MC7J2W44AXMC40MH0,Hyundai,SOLARIS,3225905,2019,Полный,Автоматическая,1057720616249,GE6HY4KCJBEGKFBG0
LXR6KG55S7H13KS61,LADA,SAMARA,6124322,2020,Полный,Автоматическая,1018751571695,HRF8WJYY4EXK8WEPF
88FKU6DEY54P1VWRC,Jaguar,XF,6577371,2007,Задний,Автоматическая,1018751571695,GE6HY4KCJBEGKFBG0
37NP1T8U5FNTADVR1,Honda,VEZEL,9740025,2021,Передний,Механическая,1097833517044,LXR6KG55S7H13KS61
7UNE591K4DSTDBDCW,Hyundai,IX55,6759848,2012,Передний,Автоматическая,5066359196382,37NP1T8U5FNTADVR1
R6V4FLB2VXR2LYHVC,Infiniti,QX70,7605149,2018,Передний,Механическая,1147922381881,LXR6KG55S7H13KS61
Y9PMPEDHVWACMS9HG,Mitsubishi,GALANT,1281403,2011,Полный,Механическая,1218596513112,70JBKXV09MJ3DKCG7
5A352VJZXFNJKS0GS,Hyundai,STAREX,1533957,2020,Передний,Автоматическая,5195524457508,R6V4FLB2VXR2LYHVC
12ED7HN8ZP949DK8C,BMW,Z4,8611338,2012,Задний,Автоматическая,1171180242584,70JBKXV09MJ3DKCG7
EH1M6SS4Y20TT6A6S,Lexus,UX,6485622,2020,Задний,Механическая,1170880178050,2STAVUB7ZF9VJ54WA
